Education at a Glance 2020: OECD Indicators - © OECD 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter A,"Table A3.1. Employment rates of 25-64 year-olds, by educational attainment (2019)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version 1 - Last updated: 31-Aug-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disclaimer: http://oe.cd/disclaimer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table A3.1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Employment rates of 25-64 year-olds, by educational attainment (2019)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of employed 25-64 year-olds among all 25-64 year-olds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes,Below upper secondary,,Upper secondary or post-secondary non-tertiary,,,,,,,,,,Tertiary,,,,,,,,,,All levels of education,,,,,,,,,,,,,,,,,,
,,,,By level of education,,,,By programme orientation,,,,Total,,Short-cycle tertiary,,Bachelor's or equivalent,,Master's or equivalent,,Doctoral or equivalent,,Total,,,,,,,,,,,,,,,,,,,,
,,,,Upper secondary,,Post-secondary non-tertiary,,General,,Vocational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(1),,(2),,(3),,(4),,(5),,(6),,(7),,(8),,(9),,(10),,(11),,(12),,,,,,,,,,,,,,,,,,
OECD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,62,,79,,81,,75,,82,,79,,82,,84,,87,,97,,85,,79,,,,,,,,,,,,,,,,,,
Austria,,56,,78,,82,,75,,78,,78,,87,,79,,88,,90,,86,,78,,,,,,,,,,,,,,,,,,
Belgium,,47,,74,,87,,70,,77,,75,,81,,85,,88,,93,,86,,74,,,,,,,,,,,,,,,,,,
Canada,,56,,71,,81,,71,,81,,75,,82,,84,,85,d,,x(9),83,,78,,,,,,,,,,,,,,,,,,
Chile,1,62,,72,,,a,71,,77,,72,,81,,85,,93,d,,x(9),84,,72,,,,,,,,,,,,,,,,,,
Colombia,2,69,,74,d,,x(2),,x(6),,x(6),74,,,x(8),81,d,,x(8),,x(8),81,,74,,,,,,,,,,,,,,,,,,
Costa Rica,,66,,73,,,c,73,,72,,73,,73,,84,,89,,,c,82,,71,,,,,,,,,,,,,,,,,,
Czech Republic,,55,,84,d,,x(2),86,,82,,84,,86,,83,,88,,94,,87,,83,,,,,,,,,,,,,,,,,,
Denmark,,61,,82,,87,,73,,84,,82,,87,,85,,91,,94,,88,,80,,,,,,,,,,,,,,,,,,
Estonia,,62,,81,,80,,81,,81,,81,,84,,85,,89,,91,,87,,81,,,,,,,,,,,,,,,,,,
Finland,,55,,76,,95,,73,,77,,77,,84,,85,,89,,97,,86,,79,,,,,,,,,,,,,,,,,,
France,,53,,73,,68,,75,,73,,73,,84,,84,,89,,92,,86,,74,,,,,,,,,,,,,,,,,,
Germany,,62,,82,,87,,67,,84,,83,,90,,89,,89,,93,,89,,82,,,,,,,,,,,,,,,,,,
Greece,,52,,62,,65,,60,,67,,62,,65,,75,,82,,88,,76,,64,,,,,,,,,,,,,,,,,,
Hungary,,57,,79,,85,,78,,80,,80,,83,,84,,87,,95,,86,,78,,,,,,,,,,,,,,,,,,
Iceland,,76,,85,,92,,80,,89,,86,,82,,89,,96,,98,,92,,87,,,,,,,,,,,,,,,,,,
Ireland,2,53,,73,,77,,,x(6),,x(6),77,,80,,85,,89,,93,,86,,77,,,,,,,,,,,,,,,,,,
Israel,,51,,73,,,a,72,,80,,73,,83,,88,,91,,92,,88,,78,,,,,,,,,,,,,,,,,,
Italy,,53,,71,,75,,63,,74,,71,,81,,74,,83,,94,,81,,66,,,,,,,,,,,,,,,,,,
Japan,3,,x(2),81,d,,x(7),,m,,m,,m,82,d,89,d,,x(8),,x(8),86,d,84,,,,,,,,,,,,,,,,,,
Korea,,64,,72,,,a,72,d,,x(4),72,,77,,77,,85,d,,x(9),78,,74,,,,,,,,,,,,,,,,,,
Latvia,,65,,75,,75,,74,,77,,75,,89,,90,,89,,98,,89,,79,,,,,,,,,,,,,,,,,,
Lithuania,,55,,73,,77,,72,,77,,75,,,a,91,,91,,100,,91,,81,,,,,,,,,,,,,,,,,,
Luxembourg,,62,,75,,75,,80,,73,,75,,83,,81,,88,,91,,86,,77,,,,,,,,,,,,,,,,,,
Mexico,,66,,72,,,a,73,,63,,72,,75,,79,,85,,91,,80,,69,,,,,,,,,,,,,,,,,,
Netherlands,,63,,82,,87,,76,,84,,82,,89,,88,,91,,96,,90,,81,,,,,,,,,,,,,,,,,,
New Zealand,,72,,81,,86,,81,,84,,83,,88,,88,,87,,92,,88,,83,,,,,,,,,,,,,,,,,,
Norway,,62,,81,,87,,75,,83,,81,,84,,91,,93,,91,,89,,81,,,,,,,,,,,,,,,,,,
Poland,,45,,71,,73,,71,,71,,71,,73,,87,,89,,98,,89,,75,,,,,,,,,,,,,,,,,,
Portugal,,70,,85,,85,,84,,87,,85,,,c,83,,90,,95,,89,,79,,,,,,,,,,,,,,,,,,
Slovak Republic,,38,,78,,82,,76,,79,,78,,91,,75,,85,,85,,84,,76,,,,,,,,,,,,,,,,,,
Slovenia,,51,,77,,,a,78,,77,,77,,86,,90,,91,,95,,90,,78,,,,,,,,,,,,,,,,,,
Spain,,59,,72,,70,,71,,73,,72,,79,,81,,84,,90,,82,,71,,,,,,,,,,,,,,,,,,
Sweden,,67,,86,,82,,80,,89,,86,,85,,91,,93,,93,,90,,85,,,,,,,,,,,,,,,,,,
Switzerland,,69,,82,d,,x(2),77,,83,,82,,,"x(8,9,10)",89,d,89,d,92,d,89,,84,,,,,,,,,,,,,,,,,,
Turkey,,50,,60,,,a,57,,64,,60,,65,,75,,84,,92,,74,,57,,,,,,,,,,,,,,,,,,
United Kingdom,4,65,,81,,,a,80,,82,,81,,83,,87,,88,,90,,87,,81,,,,,,,,,,,,,,,,,,
United States,,56,,71,d,,x(2),71,d,,x(4),71,,78,,82,,86,,90,,83,,75,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD average,,59,,76,,81,,74,,78,,77,,82,,84,,88,,93,,86,,77,,,,,,,,,,,,,,,,,,
EU23 average,,57,,77,,80,,75,,78,,77,,83,,84,,88,,93,,87,,77,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Partners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,5,64,,74,d,,x(2),74,d,,x(4),74,,79,,82,,94,,,m,81,,73,,,,,,,,,,,,,,,,,,
Brazil,5,59,,72,,,a,72,d,,x(4),72,,,x(8),82,d,84,,91,,83,,68,,,,,,,,,,,,,,,,,,
China,,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,,,,,,,,,,,,,,,,
India,,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,,,,,,,,,,,,,,,,
Indonesia,"1,2",73,,74,d,,x(2),,x(6),,x(6),74,,78,,87,,94,,98,,85,,75,,,,,,,,,,,,,,,,,,
Russian Federation,5,54,,69,,77,,69,,77,,73,,79,,88,,87,,63,,83,,78,,,,,,,,,,,,,,,,,,
Saudi Arabia,"2,6",62,,61,,82,,,x(6),,x(6),65,,,x(8),74,d,,x(8),,x(8),74,,66,,,,,,,,,,,,,,,,,,
South Africa,"2,5",44,,55,,75,,,x(6),,x(6),57,,80,,85,,88,d,,x(8),85,,56,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G20 average,,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,,,,,,,,,,,,,,,,
"Note: In most countries data refer to ISCED 2011. For Indonesia and Saudi Arabia data refer to ISCED-97. See Definitions and Methodology sections for more information. Data and more breakdowns are available at http://stats.oecd.org/, Education at a Glance Database.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Year of reference 2017.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. There is no distinction by programme orientation at upper secondary or post-secondary non-tertiary level of education.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Data for tertiary education include upper secondary or post-secondary non-tertiary programmes (less than 5% of adults are in this group).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Data for upper secondary attainment include completion of a sufficient volume and standard of programmes that would be classified individually as completion of intermediate upper secondary programmes (12% of adults aged 25-64 are in this group).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Year of reference 2018.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. Year of reference 2016.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: OECD/ILO (2020). See Source section for more information and Annex 3 for notes (https://doi.org/10.1787/69096873-en).
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please refer to the Reader's Guide for information concerning symbols for missing data and abbreviations.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information on data for Israel: https://oe.cd/israel-disclaimer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"On 15 May 2020, the OECD Council invited Costa Rica to become a Member. While Costa Rica is included in the OECD averages reported in these tables and charts, at the time of its preparation, Costa Rica was in the process of completing its domestic procedures for ratification and the deposit of the instrument of accession to the OECD Convention was pending.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The present publication presents time series compiled by the OECD Secretariat for the European Union which include the United Kingdom for the entire time series, even when data extend beyond the date of the United Kingdom’s withdrawal from the European Union on 1 February 2020. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
